,location,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,gdp_per_capita
17,Bahrain,117916998,525171,509203,1514,768.64,5882211,1934386488,1106441.695,3364.553,9389339,33.4238,65836.1,768584770,357437605,316884109,45416384,2927653,43961.93,20444.75,18125.25,2597.78,1295486595,1434507.087,32078412.41
18,Bangladesh,570429528,1946737,9286212,29077,736.18,13451006,3744243236,22514.521,80.894,13382389,89.9864,13244.1,8487098837,5322255666,3143128364,21714807,88075635,5103.36,3200.22,1889.99,13.08,1.219E+11,927271.388,2583080.272
19,Barbados,5798813,56013,48318,319,598.43,1005,1762134,6124.731,3.493,0,0,0,69738987,39565368,30173619,0,287499,24239.42,13751.82,10487.6,0,206862052,477748.897,12207230.89
20,Belarus,229428349,929340,1754296,6550,748.31,1415252,1297864973,137443.962,149.878,12448292,49.1555,21591.5,175659008,92873333,74355606,594208,0,1860.23,983.51,787.45,6.29,6959392979,34534.346,12652791.68
21,Belgium,659170918,3586292,13749387,30376,807.18,31830216,8411156522,723084.15,2736.348,31727295,71.494,17311.5,5157356199,2541633576,2187674298,530837410,25062904,44336.42,21849.71,18806.89,4563.47,8852206174,285804.204,32463176.34
22,Belize,9960362,56876,189166,655,605.71,2924,11253099,27791.261,7.222,365987,25.9308,6447.1,20160167,13135846,6676206,147433,122692,4978.81,3244.08,1648.77,36.41,288704395,11711.738,5578770.106
23,Benin,6763954,26784,58766,163,465.55,0,604310,48.535,0,0,0,0,18543979,17263112,13194926,0,0,148.93,138.65,105.97,0,8964742320,71359.2,1486249.92
24,Bermuda,1775601,11634,25945,123,0,0,0,0,0,0,0,0,4131806,1715913,1549594,309650,0,6654.34,2763.51,2495.66,498.69,44519964,938423.94,36329898.86
25,Bhutan,1132109,14451,938,7,487.1,1711669,323826981,415216.039,2194.734,1678579,2.4659,1278875.9,72718592,48414833,16784982,351962,862033,9324.11,6207.89,2152.23,45.13,569327000,15467.24,6357275.81
26,Bolivia,219447282,894551,8238208,21455,747.1,3882258,897532269,75850.338,328.103,3876224,167.9024,4500.5,2023711983,1245208522,889292300,78814606,12586506,17102.43,10523.22,7515.37,666.07,8578878600,7396.45,4992226.025
27,Bonaire Sint Eustatius and Saba,967386,7616,6970,33,0,0,0,0,0,0,0,0,43236,24835,18401,0,0,163.5,93.91,69.59,0,18590835,0,0
28,Bosnia and Herzegovina,103519745,372139,4441185,15541,769.89,1043518,303979509,93146.418,319.754,1484289,105.4513,10692.3,13550064,9897224,6182724,143102,93862,415.21,303.27,189.46,4.38,2385588529,50070.576,8562857.245
29,Botswana,53743753,263950,655308,2619,654.43,19426,153474839,64021.473,8.102,2152663,66.7787,84243,19646348,17103130,10436031,359259,10435,819.56,713.45,435.34,14.99,1692451440,2855.064,11160006.04
30,Brazil,8741356858,28935718,237138557,652216,793.43,37005491,12272453045,57349.667,172.928,69682755,0,0,69336990335,39128489425,26477169522,4035304132,391626010,32401.51,18284.88,12372.85,1885.71,1.58141E+11,18504.56,10422451.03
31,British Virgin Islands,857632,6091,9833,62,0,0,0,0,0,0,0,0,1031954,547627,438044,0,0,3392.03,1800.03,1439.87,0,21539484,147244.884,0
32,Brunei,3197483,84862,16825,140,409.56,0,0,0,0,0,0,0,58755206,34038705,23639441,118331,262753,13307.07,7709.27,5353.93,26.8,320993764,59139.269,52205325.48
33,Bulgaria,230551982,1100811,9045796,35811,764.54,3343095,1052143526,152558.519,484.737,9152847,73.7106,18502.3,831164442,116425499,398791708,40987585,4148253,12051.74,1688.09,5782.49,594.26,5020764840,47451.04,13514087.5
34,Burkina Faso,6671551,20751,103314,375,595.88,506,4351566,202.427,0.024,10492,1.9158,1401.5,11697641,9995435,6452981,0,0,54.41,46.5,30.01,0,15606892422,50929.626,1236452.052
35,Burundi,5822253,38150,9609,38,571,15093,25875358,2111.337,1.232,96536,0.6108,3200.5,93958,71557,53573,0,460,0.75,0.56,0.45,0,8640077445,298258.71,495068.625
36,Cambodia,28770418,132072,617211,3040,557.04,315156,107607312,6349.842,18.597,1758793,17.8976,22143.5,6135482715,3073803825,2711891532,549397599,34678972,36205.14,18138.3,16002.69,3242,13031816974,69726.768,2803058.83
37,Cameroon,38451959,119322,642041,1926,478.32,0,0,0,0,0,0,0,21151931,18525078,8919404,0,10290,77.69,68.04,32.73,0,19873711260,37146.05,2456395.98
38,Canada,731344449,3334009,14137396,36998,774.67,58353178,18398185797,483299.036,1532.877,58219448,38.0265,32622.6,16837843568,8944616355,6846956299,1046270914,81084583,44231.01,23496.39,17986.14,2748.42,29426496749,3120.601,34025597.84
39,Cape Verde,15140224,55892,131644,402,689.31,276216,0,0,491.573,63814,23.6748,1142.5,14926975,8421813,5340367,0,7462,2656.53,1498.83,950.38,0,402321116,97075.28,4455348.664
40,Cayman Islands,1571291,19373,2288,17,0,0,0,0,0,0,0,0,8642096,4406496,3790774,0,15339,12995.97,6626.5,5700.58,0,48078054,185446.608,36079889.97
41,Central African Republic,4824726,14320,50961,113,330.76,0,491242,99.846,0,5682,5.7314,310.3,7684740,6249360,5206867,0,12887,156.2,127.01,105.83,0,3547310627,5392.359,476754.04
42,Chad,2431128,7257,91303,190,525.88,0,1379014,81.526,0,7196,1.4208,442.1,5919392,4190573,1578917,0,0,35,24.79,9.34,0,12128044245,8484.261,1267765.701
43,Chile,737974253,3168335,16095643,43168,780,33095254,8630805109,449231.86,1722.613,32822722,65.4768,16221.5,10823971342,5008831406,4408259841,1549469663,49060536,56338.66,26070.98,22944.73,8064.98,14255572604,18017.244,16893141.45
44,China,68251000,110327,3387966,4640,839.4,0,2.50E+08,173.105,0,60232559,0,5669418.8,6.32317E+11,15236276000,29063728000,1715606000,3076439000,43782.66,1054.97,2012.42,118.79,1.11782E+12,114299.676,11848943.09
45,Colombia,1911570529,6070616,48621722,139037,757.83,32852666,9788348522,190933.153,640.834,32753756,122.827,5132.7,9749660268,4624126853,4163866509,288920187,49384131,19017.86,9019.9,8122.09,563.62,37424063930,32282.79,9676112.77
46,Comoros,1991021,8047,61629,161,538.74,0,0,0,0,0,0,0,8950080,4770625,3492550,0,0,1007.4,536.95,393.09,0,599707800,295212.6,954375.75
47,Congo,7032619,24020,109281,409,428.94,0,0,0,0,0,0,0,9466554,7079061,3169686,0,1486,167.34,125.13,56.02,0,4078709257,11107.005,3519493.726
48,Cook Islands,382,2,0,0,0,0,0,0,0,0,0,0,341311,190827,150484,0,0,1942.36,1085.97,856.39,0,5078308,0,0
49,Costa Rica,195141554,814583,2384778,8082,764.59,2891699,659789722,128387.411,562.682,2865868,152.952,6325.2,225837014,127762401,91173687,6900926,0,4394.54,2486.1,1774.15,134.3,3751508690,70137.67,11333246.35
50,Cote d'Ivoire,26483503,85564,217153,795,743.93,1194362,324670578,12000.992,44.139,1412283,41.0234,26464.5,284821112,129804953,27615323,0,2285727,1052.81,479.79,102.1,0,19613881025,55389.275,2610729.35
51,Croatia,205626093,1062953,3899541,15194,767.05,2704883,792267077,194104.27,662.691,4521509,116.4021,43734.5,1018160338,525404774,330492531,594785,3681581,24944.79,12872.26,8097,14.57,3020426180,54557.24,16775649.78
52,Cuba,217799341,1072474,1795824,8500,740.74,5296244,717015431,63354.592,467.955,5184883,11.5431,57785.1,5595632781,2027565268,1601069773,296577801,30682343,49442.36,17915.29,14146.83,2620.52,8193868552,79935.392,0
53,Curacao,6904521,39133,56091,264,0,0,0,0,0,0,0,0,47229240,24468422,20548498,2049927,184292,28659.19,14847.67,12469.04,1243.91,118982712,261828.968,0
54,Cyprus,48726812,331508,201140,875,770.17,25979138,4702134431,5247888.602,28994.42,25677226,8.3698,188541.1,165253700,81497830,69491651,13564145,428204,18443.38,9095.73,7755.75,1513.84,652291640,92934.296,23598216.1
55,Czechia,824809297,3628247,13125258,38922,784.52,51865032,12936353972,1206237.129,4836.101,51729555,54.935,84043,3749389330,1890298815,1631036454,303333345,17412936,34960.78,17625.9,15208.47,2828.42,7882546455,100824.36,23965340.91
56,Democratic Republic of Congo,22918646,86154,471579,1335,724.92,292754,0,0,3.167,249683,70.6446,2505.4,9683345,7296543,3187998,0,42303,10.51,7.9,3.44,0,66974039850,26012.275,585896.425
57,Denmark,242248994,2855237,1342644,4776,783.4,62944430,16402035631,2821466.291,10827.665,62763875,24.7839,107531.5,2661065889,1282537440,1110694141,280021929,13172039,45775.46,22062.18,19106.13,4816.82,4435549426,104164.76,35618758.95
58,Djibouti,6047539,15550,74185,189,675.52,321,2543765,2538.187,0.32,5165,0.0275,5515.5,1334770,1072723,690496,0,0,133.17,107.04,68.91,0,719577446,29642.63,1942481.508
59,Dominica,1229506,11282,6809,61,238.45,0,0,0,0,0,0,0,3081640,1674418,1338059,0,6417,4269.88,2320.06,1854.05,0,51530808,70376.838,6906784.038
60,Dominican Republic,168954237,575883,1987850,4371,745.68,1404441,382906392,34956.764,128.23,3118740,129.8731,5507.9,3266500013,1708477885,1291291174,265033034,13314254,29820.9,15597.28,11788.64,2419.49,8050979790,163811.655,10731632.84
61,Ecuador,228184307,847689,13236156,22626,772.3,2415427,703672033,39336.626,135.033,2523185,143.0354,2521.2,5370469036,2979107597,2278647942,191058042,31325609,30021.98,16653.7,12738.17,1068.03,13148028390,49200.165,7777722.96
62,Egypt,144894028,489876,8126789,24172,755.79,0,0,0,0,0,0,0,1557360686,972258134,589082252,2901298,2078777,1493.72,932.53,565.04,2.79,78298003577,73597.249,7923204.706
63,El Salvador,44716728,156456,1351204,4086,601.49,1395691,345311692,52974.096,214.108,1380910,43.937,10052.9,810883362,437433889,337837964,34172412,4909689,12439.69,6710.66,5182.76,524.16,4673764500,220700.487,5228692.386
64,Equatorial Guinea,5292336,15889,72335,183,478.17,17420,17453326,12037.684,12.014,183747,12.3743,76001.7,22567086,12864351,9428316,0,639,1556.46,887.25,650.31,0,1045371411,32584.874,16298113.43
65,Eritrea,2539862,9715,16149,103,552.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575045330,31677.36,1079978.185
66,Estonia,72689598,514067,579069,2299,769.77,3145450,805493344,607833.244,2373.593,3124225,70.1877,50650.6,440272083,234144539,201473479,41978387,1958558,33223.4,17668.77,15203.24,3167.74,1009793256,23647.146,22464714.02
67,Eswatini,16093097,69297,417826,1391,664.79,0,0,0,0,0,0,0,12891663,10432435,9745050,0,110765,1099.62,889.85,831.23,0,846450418,57393.224,5587539.95
68,Ethiopia,141121737,468930,2249461,7476,698.74,3552094,1107836484,9398.298,30.138,4505890,64.9841,23784.1,1402839066,1142038803,0,0,21319369,1190.01,968.84,0,0,85224511398,75883.911,1250737.221
71,Faeroe Islands,1907023,34658,2333,28,0,7060,22082276,450171.775,143.926,162265,16.0387,704.9,8612023,4403693,3731565,476765,34813,17556.55,8977.35,7607.22,971.95,35906796,25845.456,0
72,Falkland Islands,32529,117,0,0,0,0,0,0,0,0,0,0,14163,10671,3492,0,0,401.44,302.46,98.98,0,2473128,0,0
73,Fiji,12030375,64019,145401,836,341.25,402088,59058181,65409.515,445.319,497304,0,0,36578764,21506328,15072436,414775,28295,4051.24,2381.96,1669.33,45.94,691620634,37964.492,6666478.85
74,Finland,75359533,671773,597547,2387,773.01,10008532,2835979474,511138.231,1803.869,9969911,38.488,76253.6,789260016,260582116,237983552,119789161,1245739,14225.09,4696.52,4289.25,2158.97,4255592887,13910.312,31129248.01
75,France,3508626875,23488526,56038560,139018,819.6,247648632,53969973429,800480.168,3673.114,246691069,43.984,22074.3,28642125153,14495723165,11718720258,2697117764,140970785,42481.78,21500.01,17381.06,4000.35,52049784000,94630.216,29803578.01
76,French Polynesia,14706898,68434,158221,642,0,0,0,0,0,0,0,0,9279813,4969223,4310590,0,855,3284.51,1758.79,1525.72,0,204272082,55905.252,0
77,Gabon,13703138,47559,89479,303,745.18,91730,72898253,31989.347,40.252,647438,10.3072,21267.5,6366516,3704086,2662430,841,1486,279.39,162.53,116.89,0.04,1645314538,5674.198,11958062.19
78,Gambia,3886214,12048,123143,365,463.71,0,8200635,3297.482,0,77555,22.2065,36717.4,5757966,5137764,4577702,0,429,231.51,206.55,184.07,0,1788107703,149239.954,1122910.473
79,Georgia,259282550,1623672,3410096,16338,759.48,13492620,2326606528,584607.845,3390.3,13379508,43.4756,9190.5,314882089,176753240,134923055,80818,1415664,7912,4441.28,3390.27,2.03,2941052247,48058.648,7201613.381
80,Germany,2191355034,15831207,41494701,124227,816.63,0,4758554378,56716.662,0,110168648,9.637,3716.8,34695010577,17259186232,14623051161,3641384731,170402234,41352.64,20571.06,17428.98,4340.03,64519462199,182265.304,34781289.41
81,Ghana,56067628,160028,457497,1442,784.3,1322809,422877407,13326.468,41.685,2317798,48.5887,23654.5,95730624,67386761,28697055,227383,180950,301.73,212.41,90.44,0.72,22910596416,91491.118,3052348.86
82,Gibraltar,2770504,15632,39545,101,0,0,0,0,0,0,0,0,16359428,7837024,7012395,1509476,89064,48557.3,23261.48,20813.84,4480.32,24661812,2530597.2,0
83,Greece,311040413,2499259,6116351,26143,767,47484629,7599639540,732795.763,4578.707,66004096,24.1929,50818.9,3960206945,1948504395,1721969955,411762125,19322583,38186.31,18788.5,16604.09,3970.43,7695094274,61941.418,18234191.44
84,Greenland,750434,11807,466,21,0,0,0,0,0,0,0,0,6086336,3498326,2588794,0,43336,10702.49,6151.68,4552.32,0,40944960,98.64,0
85,Grenada,1411329,13707,33090,216,207.97,0,0,0,0,0,0,0,2793790,1598344,1139887,26829,1037,2472.02,1414.28,1008.63,23.73,80692710,226432.248,9706028.178
86,Guatemala,193018290,791944,5343317,17076,747.43,3752906,869332625,47635.013,205.631,3704418,133.2856,4708.9,1862292797,1123959699,687072647,51260451,13410832,10204.48,6158.72,3764.75,280.85,13650901264,118059.832,5553008.384
87,Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,8761598,201874,101521,39278,15931,13822.87,318.48,160.15,61.97,25417385,0,0
88,Guinea,13249227,36397,123057,440,696.58,0,0,0,0,0,0,0,227917544,155686770,77330145,0,1586407,1688.65,1153.48,573,0,9758502351,37418.865,1445223.498
89,Guinea-Bissau,2620288,8027,50224,167,511.36,0,0,0,0,0,0,0,10987399,10302845,1772657,0,1658,545.12,511.2,87.96,0,1433013390,47061.801,1101107.925
90,Guyana,11904994,63055,280740,1223,679.13,0,868509,1098.921,0,392820,39.6806,5092.7,51416384,31714451,19112030,589903,86563,6505.7,4012.78,2418.24,74.64,572198196,2861.248,5382974.028
91,Haiti,10027040,30385,256516,900,709.31,0,309059,26.777,0,0,0,0,4009542,2795824,1282175,0,41453,34.75,24.25,11.03,0,8263845028,285288.768,1183671.868
93,Honduras,138059664,413719,3685259,10786,686.21,0,0,0,0,0,0,0,223826885,102747458,68386731,3806353,229026,2224.23,1021.04,679.62,37.82,7295670650,60033.625,3292801.375
94,Hong Kong,8800129,440633,113016,1774,0,0,336410091,44541.107,0,35628568,0.045,218089.1,2290712748,1194272791,1030594608,65845349,13022731,30329.24,15812.32,13645.32,871.65,5838314400,5441698.922,43330453.16
95,Hungary,390667534,1800046,12755030,44286,789.27,10368142,2187167523,227022.087,1076.191,10327080,77.858,41561.3,727695379,1375770578,1172124681,289085341,8276404,7553.28,14280.08,12166.23,3000.6,7061840746,79195.519,19627952.21
96,Iceland,9112926,140930,18160,69,724.66,1137416,256374595,695173.957,3084.176,1123408,0,0,48723377,25048244,20332138,6771309,258851,13211.63,6791.98,5513.16,1836.11,271799704,2508.748,34257940.05
97,India,12874793738,42962953,170466513,507663,778.67,752852156,2.08469E+11,149610.921,540.292,768353626,38.6484,27330.1,2.80002E+11,1.82466E+11,96840673108,685989475,1717565089,20094.83,13094.96,6949.92,49.24,1.06735E+12,345020.954,4922832.284
98,Indonesia,1347286328,5723858,42066692,149918,779.43,49142383,9140806397,33075.5,177.813,48575872,33.4499,58997.2,30247083866,30266787466,19580657580,12405103,272430616,10944.78,10951.86,7085.18,4.49,2.0285E+11,106962.15,8212538.096
100,Iran,1876037067,7084306,47874324,137747,789.37,17837456,7487592313,88059.54,209.773,47031737,103.1529,7539.9,8517983275,4207142071,3406383129,877387187,16910883,10017.8,4947.92,4006.13,1031.87,63431454960,37173.926,14235634.52
101,Iraq,718581538,2307555,9807499,25041,759.53,12996351,4290580531,104192.528,315.61,17805391,81.9212,10864.5,448084604,260464876,168384826,0,9985,1088.11,632.54,408.9,0,30513899091,65300.625,11607013.63
102,Ireland,204014573,1323538,2616899,6550,772.88,11419814,3062471709,614595.766,2291.792,11382301,56.8405,34754.2,2219608010,1092449259,953548242,232267603,10579349,44544.33,21923.9,19136.41,4661.31,3667417344,51427.264,49558775.65
103,Isle of Man,3083134,23328,24672,80,0,0,0,0,0,0,0,0,25269501,12528336,9633639,2133031,92064,29586.14,14668.38,11279.33,2497.38,61153560,105876.352,0
104,Israel,568958764,3670342,3337689,10282,787.3,49033827,10732589104,1155159.737,5277.566,48823636,34.5055,82992.4,5309502354,2390069309,2108400556,811032489,18018704,57146.78,25724.59,22692.93,8729.13,6921795000,299941.47,24683578.4
105,Italy,2313524187,12990371,63577567,155813,804.13,188946370,40179715061,665585.52,3129.931,187881511,41.2565,41262.3,26462936332,13297200132,10977019340,2594156249,134556755,43836.45,22027.16,18183.66,4297.3,46181115315,157482.135,26943364.26
106,Jamaica,28975009,128166,645920,2825,718.58,435704,160726330,54053.599,146.537,852868,83.9667,15473,157671499,95774984,69551377,1088876,495947,5302.61,3221.04,2339.1,36.64,2155759950,193487.275,5940338.975
107,Japan,585656393,5341244,6456207,24816,813.28,37989703,8341981486,66179.516,301.387,37490486,55.039,38438.3,26406819282,13534815302,12038365699,326004916,167732120,20949.32,10737.61,9550.43,258.63,97563316104,269180.172,30187720.6
108,Jersey,0,0,0,0,0,0,0,0,0,0,0,0,12888592,6107780,5374361,1406451,0,12751.81,6042.94,5317.27,1391.5,35476623,0,0
109,Jordan,355207310,1638338,4256482,13849,760.83,7567593,2272155388,221263.075,736.933,16106507,55.3576,131643.9,1164726914,636230714,525304930,0,4260392,11342.16,6195.61,5115.46,0,7527193126,80105.905,6111380.17
110,Kazakhstan,329843562,1451359,5129312,19248,723.11,11792426,1970609383,103743.818,620.829,11842369,16.8953,19418.4,3606081342,1920863841,1639912850,45304651,18714732,18984.47,10112.45,8633.37,238.54,13733354634,4830.363,17392190.12
111,Kenya,97609814,323071,1834831,5640,720.34,595519,158782903,2887.712,10.83,3373430,59.3472,19389,1374901384,713219987,531916482,8482298,11417724,2500.54,1297.18,967.36,15.41,40139562460,63746.52,2184910.44
112,Kiribati,81106,2985,211,11,40.53,0,0,0,0,0,0,0,756535,545929,210606,0,0,623.26,449.74,173.51,0,35445296,41960.692,578490.544
113,Kosovo,58652525,226579,1151385,3117,742.64,12953,19284972,10821.396,7.268,25471,0.912,136.7,269256398,131394248,117480000,3515049,1329752,15108.88,7372.98,6592.17,197.25,1286687030,121407.91,7072592.148
114,Kuwait,173097506,622489,978897,2544,757.68,7327890,1746613846,403509.856,1692.919,7418677,66.1119,67887.2,175804719,80241017,68938766,489598,30927,4061.51,1853.77,1592.65,11.31,3207457773,172006.848,48558127.92
115,Kyrgyzstan,70704866,200615,1143651,3406,715.88,0,0,0,0,0,0,0,381330837,211093653,126680383,0,2092809,5753.04,3184.7,1911.19,0,4759153146,23215.094,2436514.332
116,Laos,15167969,143969,48372,628,336.97,984875,100117678,13567.258,133.459,975659,38.6725,8901.8,206441826,154623104,106207630,0,1802450,2797.53,2095.4,1439.23,0,5254102896,21157.08,4554920.32
117,Latvia,81950088,697548,1243952,5348,773.85,6738390,1579394267,845982.919,3609.344,6684043,44.7838,101464.1,554648848,303657952,267722536,33378612,2858231,29709.05,16264.99,14340.26,1787.65,1379664226,23065.668,18522182.19
118,Lebanon,262958519,1077242,3261738,10142,768.41,237492,112679216,16645.991,35.085,566545,0,0,863932700,459723432,367418713,31196232,4764435,12762.88,6791.45,5427.88,460.84,5036248344,442353.384,9945468.36
