,location,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,gdp_per_capita
151,New Caledonia,2973804,56834,42862,302,0,0,0,0,0,0,0,0,10148842,5431950,4716892,0,0,3521.28,1884.67,1636.55,0,206651589,11000.214,0
152,New Zealand,4425326,222772,19888,65,724.78,4222980,1131475819,220719.779,823.79,6727169,5.5444,1107383,1541840725,797296567,651893134,92651024,10652150,30077.06,15553.05,12716.7,1807.25,3778083100,13417.822,26595266.29
153,Nicaragua,5827156,18105,112065,225,493.54,0,0,0,0,0,0,0,149599042,91415407,58321280,0,0,2232.01,1363.9,870.17,0,4805605743,37045.239,3815475.348
154,Niger,2908094,8764,108126,307,668.56,327,2036390,81.033,0.013,5142,0.0735,2091.1,14929161,11127690,6486683,0,0,59.4,44.3,25.81,0,17993659960,12139.78,663016
155,Nigeria,91654554,254637,1239927,3143,725.35,702055,251342650,1188.938,3.322,4383623,49.3964,33409.4,616401152,444613178,168207389,0,3160328,291.6,210.32,79.55,0,1.55802E+11,154466.356,3934440.598
156,Niue,0,0,0,0,0,0,0,0,0,0,0,0,6894,4424,2470,0,0,427.14,274.1,153.03,0,253398,0,0
158,North Macedonia,80461389,299419,2676506,9075,749.89,775352,172903611,83020.539,372.304,1889586,101.1851,19644.3,122635820,67282452,53615570,1337797,950551,5888.4,3230.62,2574.37,64.24,1539086479,61041.4,9689187.146
159,Northern Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,6088758,3130194,2752680,386036,1988,1592.96,818.94,720.16,101,0,0,0
160,Norway,111621671,1305006,455832,1666,790.74,10814390,3088537813,565083.692,1978.628,10756555,59.194,57880.5,2279278127,1163023465,911759108,204495554,11239629,41701.94,21278.7,16681.66,3741.35,4044565460,10701.88,47952042.18
161,Oceania,226565621,3861148,1288957,8042,0,0,0,0,0,0,0,0,10656780623,5620636617,4386107745,651093304,75008803,24657.12,13004.74,10148.34,1506.44,33322584534,0,0
162,Oman,127694634,383874,1515681,4248,795.32,200640,0,0,38.412,183290,16.8646,154.7,118644650,66058893,44284799,32412,65081,2271.46,1264.64,847.67,0.62,3870521616,11100.18,28128885.37
163,Pakistan,505461339,1514258,11026701,30265,757.07,20867188,6412913196,28476.542,92.665,26462411,45.7258,22299.8,14804332311,9586810330,5832926828,62292064,85613471,6573.88,4257.05,2590.13,27.62,1.66648E+11,189124.02,3725683.92
164,Palau,118630,3844,113,6,56.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3562104,9258.452,2595119.38
165,Palestine,159830124,649971,1657093,5557,769.88,2996600,0,0,573.753,2518051,76.3801,4370.8,182728422,107732512,24673983,17159,1655605,3498.74,2062.76,472.43,0.32,3817834636,568865.662,3252875.438
166,Panama,213150651,757487,3324073,8111,758.35,5288014,1463124752,333926.056,1206.875,5514172,100.2953,8990.7,1238199169,656216483,481089616,67587705,5990331,28259.35,14976.74,10979.81,1542.52,3185410841,40081.691,16188135.9
167,Papua New Guinea,8370851,41437,111516,638,483.23,0,249149,27.322,0,0,0,0,8300408,5029161,3271247,0,0,91.02,55.15,35.86,0,6529207580,13045.52,2737406.904
168,Paraguay,171228853,643619,5191302,18460,720.61,2555716,708005974,98066.647,353.99,2548180,129.3672,13181.3,390144617,242348019,125554435,10678572,4105501,5403.88,3356.79,1739.05,147.91,5263118289,12497.976,6434890.29
169,Peru,1022024524,3522484,91197175,211616,791.96,0,7275813956,218103.757,0,27253300,84.872,10129.6,8968603783,4658042316,3749886263,560675204,61868460,26884.67,13963.16,11240.86,1680.58,24352372950,18344.17,8932795.38
170,Philippines,851733990,3666689,14325114,56881,767.91,26301039,7317717752,65897.527,236.846,26212382,75.1552,11234.5,8451018149,627259724,3443012905,165829368,54949064,7610.3,564.84,3100.47,149.35,85061933060,269534.718,5820978.008
171,Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,348,235,113,0,0,740.43,500,240.43,0,3995,0,0
172,Poland,1362980768,5734041,32572716,112535,777.66,33333027,8559267647,226453.622,881.89,32796223,88.9276,37894.7,10164358541,5193997375,4621245499,772800088,37516576,26892.03,13741.87,12226.48,2044.57,27667404000,90787.764,19922437.74
173,Portugal,528419966,3322295,7967425,21182,779.98,38580450,7854747389,772502.639,3794.325,38384146,42.0044,26509.3,3680298641,1114934928,1590437155,385147373,19669471,36195.23,10965.24,15641.85,3787.88,7473423405,82592.685,20533618.56
174,Qatar,123997125,358083,261754,670,744.3,5900138,716607681,244532.266,2013.34,5794083,0,0,1228404957,217053322,175678728,29380767,5148153,41917.55,7406.64,5994.8,1002.58,2156865664,167308.992,86064601.6
175,Romania,607498986,2765169,17408290,63931,773.19,5397608,2260639393,118186.237,282.18,21103495,72.495,33320.3,3837656457,870454081,1870814452,0,16684708,20063.19,4550.81,9780.63,0,14135423508,62910.331,17228454.06
176,Russia,3323950302,16619507,81962938,348467,782.25,156015815,50785797006,348057.653,1069.24,276716553,34.8549,30374.9,24815861975,12980488008,10532731935,686908759,143740333,17007.33,8896.06,7218.52,470.8,1.11623E+11,6749.595,18945954.81
177,Rwanda,29076190,129551,355689,1458,717.68,3443335,894850564,67401.003,259.353,4834037,15.1222,108595.2,203357759,122017549,65348503,4615511,920644,1531.71,919.06,492.19,34.77,9585645274,357295.418,1338740.342
178,Saint Helena,2002,4,0,0,0,0,0,0,0,0,0,0,24233,19580,4653,0,0,397.59,321.25,76.33,0,3321775,0,0
179,Saint Kitts and Nevis,674741,5536,4952,42,260.37,15627,6081426,113573.865,291.842,43485,23.789,6033.5,2999002,1552104,1259150,32649,6553,5600.81,2898.64,2351.55,60.97,38071206,151347.015,17529267.74
180,Saint Lucia,3781212,22733,65021,360,516.1,846,678410,3678.993,4.588,0,0,0,12171241,6509681,5180586,13415,26255,6600.48,3530.25,2809.41,7.27,133137522,211681.014,9351227.758
181,Saint Pierre and Miquelon,62099,1104,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4039700,0,0
182,Saint Vincent and the Grenadines,1479473,9860,14755,106,421.25,2203,4955853,44539.386,19.802,20108,24.9921,1099,3519524,1872022,1277661,48331,15690,3163.05,1682.44,1148.3,43.43,80336218,203450.214,7744999.412
183,Samoa,2560,33,0,0,0,0,0,0,0,0,0,0,4810126,3007913,1802213,0,0,2403.32,1502.88,900.49,0,94668112,32832.349,2848196.461
184,San Marino,2838543,14487,50250,112,570.23,0,0,0,0,0,0,0,3727209,955455,645560,24752,20141,10959.2,2809.32,1898.16,72.78,25031360,409706.912,41850041.92
185,Sao Tome and Principe,1486902,5939,21894,76,510.26,0,0,0,0,0,0,0,2291309,1479657,625052,11054,0,1025.85,662.44,279.85,4.94,156131436,148775.859,2133847.086
186,Saudi Arabia,280580531,747119,4255032,9006,750.81,40943934,11734204848,332031.103,1158.561,40762703,17.7233,157259.1,10608775174,5237171193,3978347987,328138070,57377209,30018.6,14819.1,11257.09,928.54,25940059120,11246.348,35999331.67
187,Senegal,27333660,85747,663917,1961,724.81,1037247,323212906,18795.478,60.302,1033748,52.7867,43374.1,57577474,46652883,14177576,0,348554,334.86,271.34,82.5,0,12673678996,60675.736,1820817.46
188,Serbia,403495546,1923977,3732272,15408,765.05,8814120,2415265365,351487.848,1282.708,8770664,116.3364,16973.6,1050774889,506372441,446320066,98085703,3257010,15291.75,7369.11,6495.2,1427.41,5078073233,59335.049,10382123.06
189,Seychelles,7149495,39432,33139,163,481.45,0,0,0,0,0,0,0,7922138,4503583,3141709,83232,42863,8009.48,4553.26,3176.34,84.15,71314110,150223.234,19021628.93
190,Sierra Leone,2809960,7665,59946,125,570.67,0,0,0,0,0,0,0,12249384,10107767,5038818,0,7981,150.46,124.17,61.88,0,5739646815,73813.5,980161.5
191,Singapore,77640380,819663,123434,1073,801.79,15575000,0,0,2855.909,14584400,1.8536,11623.2,2789872492,1328443367,1170429092,291000033,13572538,51156.46,24359.07,21461.55,5335.89,4215632800,6118860.063,66118851.06
192,Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,1972577,1023550,906218,0,0,4542.91,2357.29,2087.07,0,12809195,356680.96,10716533.44
193,Slovakia,401828612,2190599,5264233,18663,779.95,49671489,15298684179,2807474.053,9115.27,49551021,42.37,96998.7,226517948,113116665,98263091,19003796,0,4156.87,2075.79,1803.19,348.75,3977967100,82583.44,22013260.96
194,Slovenia,148312194,902744,2083498,6351,772.96,4447765,741151704,356541.825,2139.666,4411527,118.792,39282.3,665440910,344000165,298036937,55827113,2959522,32012.18,16548.68,14337.59,2685.51,1586065649,78298.297,23958840.92
195,Solomon Islands,184055,7943,2258,115,47.87,0,0,0,0,0,0,0,3837274,2876409,960865,0,0,545.05,408.56,136.47,0,359037450,11138.91,1125020.73
196,Somalia,7910832,26351,395536,1349,523.78,0,0,0,0,0,0,0,25639489,18481902,11388446,0,37292,156.77,112.98,69.6,0,11778840000,16920,0
197,South Africa,1148762640,3664586,33478334,99220,746.7,22771327,7142505805,118958.5,379.259,23117676,90.4297,11487.5,3282084663,2137802851,1615720636,20358967,14421187,5466.35,3560.5,2690.97,33.93,45511832968,35439.532,9319516.008
