,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,gdp_per_capita
41,Central African Republic,8/10/2021,11195,4044,98,0,0.13,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4919987,7.479,661.24
42,Chad,12/3/2021,5703,596,181,6,0.04,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,16914985,11.833,1768.153
43,Chile,2/11/2022,2545819,41651,40370,97,1.11,135064,31045582,1615.917,7.03,123419,0.2883,3.5,tests performed,47397624,17698859,17084784,13188161,61228,246.7,92.12,88.93,68.64,19212362,24.282,22767.037
44,China,2/13/2020,59832,15133,1368,252,1.7,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1444216102,147.674,15308.712
45,Colombia,1/15/2022,5511479,35575,130860,129,1.32,55670,30928838,603.303,1.086,102199,0.381,2.6,tests performed,68156006,39227216,29932016,4485722,251589,132.95,76.52,58.39,8.75,51265841,44.223,13254.949
46,Comoros,12/22/2021,4952,275,152,0,1.07,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,888456,437.352,1413.89
47,Congo,1/3/2022,21277,1188,369,2,0.7,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5657017,15.405,4881.406
48,Cook Islands,5/21/2021,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17572,NA,NA
49,Cook Islands,12/3/2021,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17572,NA,NA
50,Costa Rica,1/25/2022,661684,18188,7492,41,1.32,14910,2536400,493.554,2.901,12817,0.373,2.7,people tested,8234302,4028723,3654209,551370,NA,160.23,78.39,71.11,10.73,5139053,96.079,15524.995
51,Cote d'Ivoire,3/3/2022,85518,4000,794,0,NA,NA,NA,NA,NA,1931,0.3039,3.3,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,27053629,76.399,3601.006
52,Croatia,1/26/2022,899174,11812,13566,64,1.06,22524,4155056,1017.983,5.518,17250,0.5165,1.9,people tested,5071377,2291578,2201139,NA,9653,124.25,56.14,53.93,NA,4081657,73.726,22669.797
53,Cuba,8/24/2021,602526,9907,4710,92,0.99,NA,NA,NA,NA,NA,NA,NA,,12852801,5206008,3165387,NA,153279,113.57,46,27.97,NA,11317498,110.408,NA
54,Curacao,1/14/2022,32892,2028,202,3,NA,NA,NA,NA,NA,NA,NA,NA,,234484,105492,97160,31832,681,142.29,64.01,58.96,19.32,164796,362.644,NA
55,Cyprus,1/4/2022,183178,5457,646,5,1.52,122801,19819790,22120.178,137.054,117247,0.0344,29.1,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,896005,127.657,32415.132
56,Czechia,2/2/2022,3100462,57378,37281,38,1.19,155115,49712765,4635.416,14.464,151670,0.24,4.2,tests performed,17110846,6930075,6794395,3795461,26214,159.55,64.62,63.35,35.39,10724553,137.176,32605.906
57,Democratic Republic of Congo,1/4/2022,79274,4481,1225,20,0.86,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,92377986,35.879,808.133
58,Denmark,2/9/2022,2142809,55120,3948,21,1.03,162025,60861979,10469.434,27.871,154164,0.2779,3.6,tests performed,13129901,4842352,4734173,3600414,4444,225.86,83.3,81.44,61.93,5813302,136.52,46682.515
59,Djibouti,4/6/2021,9111,415,85,9,1.25,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002197,41.285,2705.406
60,Dominica,1/20/2022,8349,392,48,0,1.13,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,72172,98.567,9673.367
61,Dominican Republic,1/12/2022,476504,7439,4259,4,1.55,NA,NA,NA,NA,8026,0.7617,1.3,samples tested,14274313,6960926,5732824,1573651,26531,130.31,63.55,52.34,14.37,10953714,222.873,14600.861
62,Ecuador,2/14/2022,799140,17670,35036,182,0.99,2071,2448718,136.888,0.116,7144,0.5997,1.7,people tested,30940299,14720847,13445061,3320280,82957,172.96,82.29,75.16,18.56,17888474,66.939,10581.936
63,Egypt,2/14/2022,457081,4260,23409,117,1.06,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,104258327,97.999,10550.206
64,El Salvador,2/14/2022,147786,12677,4002,8,0.26,4677,1334893,204.785,0.717,4681,0.181,5.5,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,6518500,307.811,7292.458
65,Equatorial Guinea,7/31/2020,4821,1750,83,32,0.21,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1449891,45.194,22604.873
66,Eritrea,6/4/2021,4427,282,14,0,1.06,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3601462,44.304,1510.459
67,Estonia,2/16/2022,435448,8438,2139,17,0.98,11124,3023034,2281.211,8.394,9164,0.5757,1.7,tests performed,1943216,856351,836737,434459,1212,146.64,64.62,63.14,32.78,1325188,31.033,29481.252
68,Eswatini,12/16/2021,57842,1642,1255,1,1.59,NA,NA,NA,NA,NA,NA,NA,,385304,326455,295361,NA,NA,32.87,27.85,25.19,NA,1172369,79.492,7738.975
69,Ethiopia,12/28/2021,405745,5185,6911,7,1.73,NA,NA,NA,NA,9706,0.3881,2.6,tests performed,10894936,9343801,NA,NA,25240,9.24,7.93,NA,NA,117876226,104.957,1729.927
72,Faeroe Islands,2/4/2022,22908,1451,20,1,NA,NA,NA,NA,NA,2152,0.3654,2.7,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,49053,35.308,NA
73,Falkland Islands,2/9/2021,53,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3528,NA,NA
74,Fiji,7/15/2021,13886,1854,74,15,1.41,3409,263820,292.192,3.776,3876,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,902899,49.562,8702.975
75,Finland,2/7/2022,534790,19898,2095,37,1.17,16986,9639841,1737.421,3.061,18015,0.33,3,tests performed,11238270,4436846,4179356,2622068,NA,202.55,79.97,75.33,47.26,5548361,18.136,40585.721
76,France,1/25/2022,17354921,502507,129557,469,1.05,1297741,228952209,3395.809,19.248,1234970,0.33,3,people tested,135312114,53709029,51213882,31466420,317708,200.69,79.66,75.96,46.67,67422000,122.578,38605.671
77,French Polynesia,10/6/2021,45181,5003,625,1,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,282534,77.324,NA
78,Gabon,12/27/2021,39910,1871,288,2,0.99,NA,NA,NA,NA,1730,0.1718,5.8,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,2278829,7.859,16562.413
79,Gambia,8/3/2021,8296,587,227,15,0.94,NA,91122,36.64,NA,535,0.2571,3.9,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,2486937,207.566,1561.767
80,Georgia,2/2/2022,1226444,26320,15060,44,1.42,84658,12429410,3123.145,21.272,37698,0.5069,2,tests performed,2736590,1512441,1224149,NA,6523,68.76,38,30.76,NA,3979773,65.032,9745.079
81,Germany,2/16/2022,13093881,401828,120732,455,1.03,NA,NA,NA,NA,335213,NA,NA,tests performed,168657139,63355819,62377614,46525831,186849,201.02,75.51,74.35,55.45,83900471,237.016,45229.245
82,Ghana,12/27/2021,138957,2521,1280,6,1.31,NA,NA,NA,NA,4823,0.2022,4.9,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,31732128,126.719,4227.63
83,Gibraltar,1/6/2022,9459,232,100,0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,33691,3457.1,NA
84,Greece,1/4/2022,1344923,50182,21053,63,1.54,650101,48625727,4688.739,62.686,392080,0.0871,11.5,samples tested,17717885,7500452,7081340,3709182,94057,170.84,72.32,68.28,35.77,10370747,83.479,24574.382
85,Greenland,1/16/2022,7871,788,3,1,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,56868,0.137,NA
86,Grenada,1/11/2022,8601,902,201,1,1.75,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,113015,317.132,13593.877
87,Guatemala,8/19/2021,428096,5826,11339,66,1.11,15606,2075354,113.719,0.855,10474,0.3375,3,people tested,3635762,2906652,729110,NA,107349,19.92,15.93,4,NA,18249868,157.834,7423.808
88,Guinea,1/9/2022,34673,534,400,3,1.02,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,13497237,51.755,1998.926
89,Guinea-Bissau,1/25/2022,7484,191,154,0,1.09,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015490,66.191,1548.675
90,Guyana,1/13/2022,48191,1186,1075,0,1.5,NA,NA,NA,NA,2771,0.2993,3.3,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,790329,3.952,7435.047
91,Haiti,1/17/2022,27819,737,780,0,0.81,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,11541683,398.448,1653.173
93,Honduras,2/16/2022,404764,12890,10608,96,0.39,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,10062994,82.805,4541.795
94,Hong Kong,3/3/2022,350557,56827,1366,198,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,7552800,7039.714,56054.92
95,Hungary,1/31/2022,1553405,45047,41405,176,1.29,134625,9620513,998.583,13.974,39514,0.405,2.5,tests performed,15927853,6364167,6103465,3688593,NA,165.33,66.06,63.35,38.29,9634162,108.043,26777.561
96,Iceland,2/21/2022,109494,7408,58,0,1.3,4711,1137416,3084.167,12.774,4776,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,368792,3.404,46482.958
97,India,5/6/2021,21491598,414188,234083,3915,1.08,1923131,296775209,212.985,1.38,1757604,0.2218,4.5,samples tested,162603603,131058890,31544713,NA,2672365,11.67,9.41,2.26,NA,1393409033,450.419,6426.674
98,Indonesia,2/16/2022,4966046,64718,145622,167,1.39,348080,52951989,191.604,1.26,291299,0.1663,6,people tested,NA,188833480,137485375,NA,NA,NA,68.33,49.75,NA,276361788,145.725,11188.744
100,Iran,8/17/2021,4517243,50228,99108,625,1.08,NA,27380677,322.017,NA,98886,0.4024,2.5,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,85028760,49.831,19082.62
101,Iraq,7/28/2021,1590528,13515,18484,66,1.23,57971,12914493,313.616,1.408,41949,0.2441,4.1,samples tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,41179351,88.125,15663.986
102,Ireland,1/11/2022,1021303,43199,5952,0,1.11,42771,10488552,2104.907,8.584,44403,0.4958,2,tests performed,10105129,3956671,3868697,2519074,30045,202.8,79.4,77.64,50.55,4982904,69.874,67335.293
103,Isle of Man,1/4/2022,16975,3221,67,0,NA,NA,NA,NA,NA,NA,NA,NA,,178946,68801,65459,44686,NA,209.51,80.55,76.64,52.32,85410,147.872,NA
104,Israel,1/19/2022,2035425,243295,8362,44,1.2,433136,41569594,4474.179,46.619,418499,0.1249,8,tests performed,17747108,6685002,6051301,5010805,21154,191.01,71.95,65.13,53.93,9291000,402.606,33132.32
105,Italy,1/18/2022,9018425,228123,141825,434,1.09,1481349,157819844,2614.319,24.539,1096054,0.1621,6.2,tests performed,121701553,49596411,45476086,28134258,631094,201.6,82.16,75.33,46.6,60367471,205.859,35220.084
106,Jamaica,1/16/2022,112218,1968,2530,8,1.27,NA,760366,255.717,NA,3741,0.3709,2.7,samples tested,1262064,730708,595627,14435,2256,42.44,24.57,20.03,0.49,2973462,266.879,8193.571
107,Japan,2/3/2022,3019169,104345,19054,90,1.25,266034,32963234,261.508,2.111,228847,0.3659,2.7,people tested,207319162,101375787,99849807,6093568,568034,164.47,80.42,79.21,4.83,126050796,347.778,39002.223
108,Jordan,2/8/2022,1374453,22720,13382,35,1.26,NA,NA,NA,NA,60371,0.3108,3.2,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,10269022,109.285,8337.49
109,Kazakhstan,7/23/2021,641388,66121,8538,0,1.2,NA,NA,NA,NA,NA,NA,NA,,8130877,5054970,3075907,NA,129255,42.81,26.61,16.19,NA,18994958,6.681,24055.588
110,Kenya,12/25/2021,281358,3749,5359,2,1.69,NA,NA,NA,NA,7836,0.3468,2.9,tests performed,9570050,NA,3927485,NA,NA,17.4,NA,7.14,NA,54985702,87.324,2993.028
111,Kiribati,2/5/2022,1387,350,NA,NA,2.04,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,121388,143.701,1981.132
112,Kosovo,1/26/2022,190793,4397,3002,0,1.63,NA,NA,NA,NA,NA,NA,NA,,1759797,891630,803020,65147,5463,98.75,50.03,45.06,3.66,1782115,168.155,9795.834
113,Kuwait,1/28/2022,528254,6913,2492,2,1.23,35795,6822237,1576.101,8.27,30708,0.1828,5.5,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,4328553,232.128,65530.537
114,Kyrgyzstan,7/18/2020,24606,11505,900,727,0.92,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6628347,32.333,3393.474
115,Laos,12/24/2021,104373,2508,305,17,0.95,NA,NA,NA,NA,5157,0.2249,4.4,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,7379358,29.715,6397.36
116,Latvia,2/19/2022,579168,11992,5099,6,1.05,28210,6500369,3481.842,15.11,22083,0.4421,2.3,tests performed,2842103,1341458,1296970,488719,1087,152.23,71.85,69.47,26.18,1866934,31.212,25063.846
117,Lebanon,2/2/2022,939282,10760,9638,17,1.06,NA,NA,NA,NA,NA,NA,NA,,4928266,2443750,2031963,452553,11115,72.8,36.1,30.02,6.69,6769151,594.561,13367.565
118,Lesotho,10/1/2021,21320,6925,633,230,0.15,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2159067,73.562,2851.153
119,Liberia,1/5/2022,6851,447,287,0,0.57,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5180208,49.127,752.788
120,Libya,1/30/2022,425237,5694,6007,14,1.66,12071,NA,NA,1.735,NA,NA,NA,samples tested,3051024,2031276,996091,NA,NA,43.85,29.19,14.31,NA,6958538,3.623,17881.509
121,Liechtenstein,3/4/2022,12681,349,78,0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,38254,237.012,NA
122,Lithuania,2/5/2022,740137,12968,7969,17,1.16,20237,7770629,2888.858,7.523,28820,0.46,2.2,tests performed,4428785,1943848,1864562,895203,452,164.65,72.27,69.32,33.28,2689862,45.135,29524.265
125,Luxembourg,1/24/2022,143067,5497,945,2,1.23,4791,3945935,6215.892,7.547,6176,0.363,2.8,tests performed,1209446,474713,NA,319107,NA,190.52,74.78,NA,50.27,634814,231.447,94277.965
126,Macao,3/22/2020,24,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,658391,20546.766,104861.851
127,Madagascar,12/25/2021,49590,2295,1027,31,0.52,NA,NA,NA,NA,1887,0.1737,5.8,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,28427333,43.951,1416.44
128,Malawi,1/22/2021,17365,1316,445,49,1.47,NA,118488,6.031,NA,2527,0.3472,2.9,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,19647681,197.519,1095.042
129,Malaysia,3/5/2022,3595172,33406,33173,67,NA,NA,NA,NA,NA,NA,NA,NA,,67672349,27137958,25757844,14984241,68081,206.47,82.8,78.59,45.72,32776195,96.254,26808.164
130,Maldives,1/30/2022,136126,2838,275,1,1.2,7394,2053334,3777.149,13.601,7299,0.3653,2.7,samples tested,840260,397615,369820,72825,2734,154.57,73.14,68.03,13.4,543620,1454.433,15183.616
131,Mali,1/9/2022,25197,1217,672,1,1.27,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,20855724,15.196,2014.306
132,Malta,12/31/2021,52473,1403,476,0,1.5,7849,1548862,3001.089,15.208,7141,0.1543,6.5,tests performed,1072274,444615,435874,224190,3509,207.76,86.15,84.46,43.44,516100,1454.037,36513.323
134,Marshall Islands,1/6/2022,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,59618,295.15,3819.202
135,Mauritania,1/7/2022,47036,1211,881,1,2.07,NA,NA,NA,NA,1786,0.445,2.2,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,4775110,4.289,3597.633
136,Mauritius,12/6/2021,62500,6194,652,58,0.67,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273428,622.962,20292.745
137,Mexico,1/19/2022,4495310,109895,302112,643,1.45,94837,13355306,102.526,0.728,84406,0.684,1.5,people tested,157145915,83002950,76006592,NA,726643,120.64,63.72,58.35,NA,130262220,66.444,17336.469
138,Micronesia (country),1/21/2021,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,116255,150.777,3299.464
139,Moldova,1/26/2022,423568,6199,10587,21,1.56,19808,NA,NA,4.922,NA,NA,NA,tests performed,1907733,NA,1008613,NA,7505,47.41,NA,25.06,NA,4024025,123.655,5189.972
140,Monaco,2/4/2022,8703,520,48,0,0.64,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,39520,19347.5,NA
141,Mongolia,10/31/2021,590800,24556,1745,11,1.1,NA,NA,NA,NA,7475,NA,NA,samples tested,4395278,2255448,2139830,NA,NA,132.02,67.75,64.27,NA,3329282,1.98,11840.846
142,Montenegro,1/6/2022,183220,2960,2428,0,1.63,NA,NA,NA,NA,NA,NA,NA,,639038,284572,273910,80556,1363,101.75,45.31,43.61,12.83,628051,46.28,16409.288
143,Montserrat,1/3/2022,66,15,1,0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4981,NA,NA
144,Morocco,8/5/2021,665325,12039,10087,72,1.39,48203,7169695,191.987,1.291,37315,0.2238,4.5,people tested,25542596,14809114,10733482,NA,NA,68.4,39.66,28.74,NA,37344787,80.08,7485.013
145,Mozambique,12/30/2021,184219,4947,1996,8,1.6,NA,NA,NA,NA,4397,0.5495,1.8,tests performed,14718782,8633965,6084817,NA,NA,45.76,26.84,18.92,NA,32163045,37.728,1136.103
