,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,gdp_per_capita
178,Saint Vincent and the Grenadines,1/26/2022,9385,2723,92,0,0.63,NA,NA,NA,NA,102,NA,NA,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,111269,281.787,10727.146
179,Samoa,1/20/2022,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,200144,69.413,6021.557
180,San Marino,1/12/2022,10009,491,103,0,1.29,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,34010,556.667,56861.47
181,Sao Tome and Principe,1/8/2022,4735,319,63,1,2.1,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,223364,212.841,3052.714
182,Saudi Arabia,1/19/2022,632736,5928,8912,2,1.31,212831,36147998,1022.844,6.022,180351,0.031,32.2,tests performed,54597568,25275319,23519253,5802996,231618,154.49,71.52,66.55,16.42,35340680,15.322,49045.411
183,Senegal,7/18/2021,52096,1722,1220,6,1.77,4419,620277,36.07,0.257,2921,0.2896,3.5,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,17196308,82.328,2470.58
184,Serbia,1/27/2022,1616584,36737,13417,77,1.21,35974,8010329,1165.724,5.235,33337,0.4926,2,people tested,8389858,3331955,3242876,1815027,NA,122.1,48.49,47.19,26.41,6871547,80.291,14048.881
185,Seychelles,1/13/2022,31098,2068,136,2,1.13,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,98910,208.354,26382.287
186,Sierra Leone,6/24/2021,5155,192,87,3,1.43,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8141343,104.7,1390.3
187,Singapore,2/22/2022,622293,26032,956,4,1.28,122900,NA,NA,22.536,223957,0.0793,12.6,samples tested,13459027,4978961,4893517,3586549,13790,246.79,91.3,89.73,65.76,5453600,7915.731,85535.383
188,Slovakia,2/16/2022,1920150,28504,18145,22,1.04,65027,49012131,8994.256,11.933,62562,0.341,2.9,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,5449270,113.128,30155.152
189,Slovenia,2/2/2022,745980,23332,5893,13,1.1,130997,2738654,1317.469,63.018,47922,0.319,3.1,tests performed,2923568,1261519,1211530,597003,4496,140.64,60.69,58.28,28.72,2078723,102.619,31400.84
190,Solomon Islands,2/2/2022,2167,681,15,3,1.79,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,703995,21.841,2205.923
191,Somalia,1/24/2022,25388,1066,1335,0,0.28,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,16359500,23.5,NA
192,South Africa,12/12/2021,3167497,37875,90137,21,1.67,62414,20238805,337.077,1.04,68139,0.2847,3.5,people tested,27090975,18379697,15357823,NA,NA,45.12,30.61,25.58,NA,60041996,46.754,12294.876
194,South Korea,3/3/2022,3958326,266838,8580,186,NA,575076,63098211,1229.86,11.209,498599,0.3705,2.7,people tested,119376139,44866714,44380734,31643915,72608,232.68,87.45,86.5,61.68,51305184,527.967,35938.374
195,South Sudan,1/4/2022,15745,503,136,1,1.16,NA,NA,NA,NA,616,0.2052,4.9,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381377,NA,1569.888
196,Spain,1/3/2022,6667511,372766,89573,168,1.73,390243,74044900,1584.01,8.348,359721,0.333,3,tests performed,84506436,39859995,38028178,14596198,256290,180.78,85.27,81.35,31.23,46745211,93.105,34272.36
197,Sri Lanka,9/5/2021,462767,11366,10140,334,0.96,16959,5447276,253.393,0.789,17722,0.295,3.4,tests performed,21840957,12703070,9137887,NA,173138,101.6,59.09,42.51,NA,21497306,341.955,11669.077
198,Sudan,2/21/2022,61223,1284,3892,61,0.49,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,44909351,23.258,4466.507
199,Suriname,1/17/2022,65282,1404,1216,3,1.27,875,60226,101.768,1.479,492,0.43,2.3,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,591798,3.612,13767.119
200,Sweden,1/25/2022,1922990,138985,15693,19,1.5,77851,16973153,1670.56,7.662,84495,0.4487,2.2,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,10160159,24.718,46949.283
201,Switzerland,1/31/2022,2220539,89462,12708,24,1.09,98587,17072268,1958.841,11.312,100265,0.4,2.5,tests performed,15316376,6064404,5925633,3424974,21443,175.74,69.58,67.99,39.3,8715494,214.243,57410.166
202,Syria,11/8/2021,45096,905,2620,27,1.18,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18275704,NA,NA
203,Taiwan,5/22/2021,3862,723,17,2,1.87,14429,350419,14.69,0.605,16189,0.0211,47.5,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,23855008,NA,NA
204,Tajikistan,5/19/2020,1729,407,44,5,2.03,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,9749625,64.281,2896.913
205,Tanzania,9/23/2021,25674,24307,50,0,0.07,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,61498438,64.699,2683.304
206,Thailand,3/1/2022,2934544,42617,23021,88,1.25,NA,NA,NA,NA,NA,NA,NA,,123990076,53662328,49701427,20626321,149703,177.25,76.71,71.05,29.49,69950844,135.132,16277.671
207,Timor,8/24/2021,14935,532,51,2,1.29,NA,NA,NA,NA,808,0.3547,2.8,tests performed,556783,375372,181411,NA,NA,41.43,27.93,13.5,NA,1343875,87.176,6570.102
208,Togo,1/2/2022,31165,1002,248,0,1.61,1090,619497,73.069,0.129,1570,0.2636,3.8,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,8478242,143.366,1429.813
209,Tonga,3/3/2022,645,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,106759,150.028,5425.621
210,Trinidad and Tobago,1/21/2022,105264,1259,3278,22,1.1,NA,NA,NA,NA,NA,NA,NA,,1464353,729831,683401,103605,2239,104.35,52.01,48.7,7.38,1403374,266.886,28763.071
211,Tunisia,1/22/2022,846761,19923,25954,42,1.43,NA,3868881,324.142,NA,29781,0.3167,3.2,people tested,12672586,7083316,6187489,1005478,17880,106.17,59.35,51.84,8.42,11935764,74.228,10849.297
212,Turkey,2/4/2022,12051852,111157,88312,248,1.16,468152,133431632,1568.995,5.505,448202,0.2257,4.4,tests performed,142735468,57480352,52489431,32765685,212771,167.84,67.59,61.72,38.53,85042736,104.914,25129.341
213,Turks and Caicos Islands,1/12/2022,4636,542,28,1,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,39226,37.312,NA
214,Uganda,8/23/2021,118777,21324,2960,29,0.24,3042,1558706,33.077,0.065,3626,0.8531,1.2,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,47123533,213.759,1697.707
215,Ukraine,2/4/2022,4408776,45022,107712,188,1.29,96361,18404417,423.413,2.217,79469,0.4318,2.3,tests performed,30665677,15442557,14779030,464770,76350,70.55,35.53,34,1.07,43466822,77.39,7894.393
216,United Arab Emirates,6/11/2021,593894,4471,1720,10,1.15,225651,52853775,5290.095,22.585,230909,0.0092,108.6,tests performed,13684429,NA,NA,NA,94223,136.97,NA,NA,NA,9991083,112.442,67293.483
217,United Kingdom,1/4/2022,13670848,219290,149055,49,1.19,2145480,399640742,5859.224,31.455,1637146,0.1107,9,tests performed,133956004,51845518,47523676,34586810,288577,196.4,76.01,69.68,50.71,68207114,272.898,39753.244
218,United States,1/10/2022,61698165,1368167,842623,1977,1.34,2065916,747235806,2244.524,6.206,2543462,0.292,3.4,tests performed,526404946,246486271,209110550,80310332,1228509,158.55,74.24,62.98,24.19,332915074,35.608,54225.446
220,Uruguay,1/28/2022,644631,13612,6411,22,1.05,33516,5153311,1478.647,9.617,27166,0.3975,2.5,people tested,7409537,2893543,2692006,1823988,25471,212.6,83.02,77.24,52.34,3485152,19.751,20551.409
221,Uzbekistan,1/23/2022,213767,1478,1540,4,1.41,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,33935765,76.134,6253.104
222,Vanuatu,2/19/2022,11,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,314464,22.662,2921.909
223,Vanuatu,2/21/2022,15,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,,189138,110907,78231,NA,NA,60.15,35.27,24.88,NA,314464,22.662,2921.909
224,Vatican,10/12/2020,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,NA,NA
225,Vatican,10/15/2020,26,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,NA,NA
226,Venezuela,1/19/2022,461059,4418,5392,9,1.6,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,28704947,36.253,16745.022
227,Vietnam,3/3/2022,3885631,176150,40547,95,NA,NA,NA,NA,NA,133276,0.9048,1.1,people tested,NA,NA,NA,NA,NA,NA,NA,NA,NA,98168829,308.127,6171.884
228,Wallis and Futuna,3/17/2021,242,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,11094,NA,NA
230,Yemen,2/8/2022,11553,287,2088,60,0.96,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,30490639,53.508,1479.147
231,Zambia,12/30/2021,249193,5555,3730,4,1.64,16629,2943337,155.562,0.879,11263,0.3036,3.3,tests performed,NA,NA,NA,NA,NA,NA,NA,NA,NA,18920657,22.995,3689.251
232,Zimbabwe,12/11/2021,165002,9185,4735,12,1.96,8576,1558435,103.261,0.568,10419,0.3631,2.8,tests performed,6911698,3944813,2966885,NA,12631,45.8,26.14,19.66,NA,15092171,42.729,1899.775
